,video_name,question,answer
12367,1PpVSeE2BJ8,какая спина у человека в синем,диван
16273,VIQG4W0vYxw,"что происходит с людьми в сером, прежде чем они убегают",ждать запуска
5562,nKn2uQTVo-U,какие отношения у людей на сцене,противник
2573,tPZYyaX63yE,какого цвета фен на видео,красный
5899,C7sabT8febk,что перед человеком на видео,раскраска
7458,gY-TqRhcWY8,какого пола человек в белом халате,мужской
18335,g6L-l5sgFEQ,какого цвета тюрбан у мужчины в черном плаще,черный
7777,rq-Xyoo5Rs0,какого пола человек в черной одежде,мужской
5807,xcrGhwE7R5E,что перед человеком в черной одежде,кухонная скамейка
18799,P4Z4sQNQtJM,как это сложно на видео,жесткий
11255,J6T9pokWX1E,почему человек в голубом принимает ванну для животных,чистый
560,dUvZ6-IVo34,что делает человек на видео,флейта
9203,HddRC-twMLc,где место на видео,комната
12644,I4B52tt3mNM,что носят на пальцах женщины в длинном рукаве,звенеть
3484,NIJTz15ikgA,что стоит за человеком в белом,диван
13646,jHbf_E8aY1k,что под ногой у голого человека,гора
5853,DOfpOkDHe_8,что перед человеком в зеленой одежде,стол
4461,Jd3D2d-RwL0,что на руке у человека на видео,кольцо на руку
3944,MleQSQt6Utw,что перед ребенком в синем,песчаная дюна
18530,oZgyW8Yca_M,"какого цвета ведро, которое появляется первым",апельсин
9102,Ed9xVend710,где человек на видео бродит,море
168,s5y4xXcphcc,какая погода на видео,Солнечный
92,MFvdMVCzfB0,насколько сложно чистить зубы на видео,обычно
13770,aS6Qv9N5mG0,"что находится перед человеком, которого фотографируют на видео",сетка для мячей
1626,8gKV8f3qSOg,что делает женщина с длинными волосами,мыть лицо
14930,rBgMeunuviE,какого цвета волосы у человека в середине видео,черный
13583,c0qbyRWSptg,какое выражение лица у всех на видео,депрессия
9605,OsrRpGbIpKA,какая верхняя часть у человека в белой рубашке,крыша
18395,5g70tfGYWDk,какого цвета одежда мальчика,серый
8718,Zd22n1caVgM,какие штаны носит голый человек,короткий
480,800KXmqsK-w,что делает человек на видео,Ездить на машине
8778,VZ2CPdIPa30,какие штаны носит человек в белой одежде,короткий
10970,lGRZ3F7tW2c,кто тренер,в белом
14313,L0K-WJuI1-I,какой продукт представлен в этом видео,пылесос
9149,hCFCYe_Jp-k,где место на видео,парк
9213,PgZ2e0H1ZVE,где снято видео,открытый
2859,zjbxaEVgzyE,какого цвета волосы у человека в фиолетовой одежде,золотой
15832,pYUqRy9Ujaw,"что происходит после того, как ветер и волны гребут по волнам",быть перевернутым
2014,nSR-JSqGoWQ,что делает человек в синей одежде,играть в футбол
6626,dm5WXFiQZUQ,из какого материала штаны человека в белом халате,джинсы
16837,H_xL4tssqEU,"что случилось с человеком в сером до того, как он надел шарф",вынуть шарф
9119,uqiooW1OAXU,где ходит верблюд,пустыня
16977,3UOWHwwxczI,"Что случилось с человеком в жилете до того, как он занялся скалолазанием",порошок магнезии
11260,Yi3xUQcaOnE,что происходит после падения синей лодки,путешествие
9934,H8MY7XGrN6Q,какой фасон штанов у человека в белом платке,брюки
4203,jUmfhYsA5r0,что стоит за стоящим человеком,стена
2007,1nXLVjfupto,что делает человек в синей одежде,ведро
17646,P-6ITEpg0mw,"что произошло после того, как человек в черном переместился на перекладину","К земле, приземляться"
13077,_MWyhJS4KbM,какого цвета волосы у человека в костюме,черный
10306,Fyi7pbkKk7w,что делают мужчины в клетчатых рубашках,рубить дрова
8904,YL3MvJVk6u0,какую одежду носит человек в шляпе,цельный предмет одежды
5097,XN7mRI1qGlQ,как трудно дуть волосы,простой
3350,uC27rJLCn70,какого цвета штаны у человека в синем пальто,черный
1651,1wjnveHAhGE,что делает человек в черном,введение
488,0Mn0gxECBLA,что делает человек на видео,сорняк
4800,_3hVtPVXTmg,что под турником,подушечки
17322,Chj1_JbBc4A,"что случилось с человеком, который сделал видео перед съемкой",загрузка
5676,EOradtej9GU,что перед игроком в синих штанах,снежная земля
2278,38qpTblXDTw,что делает человек в очках,кататься на велосипеде
1229,tvR1ovqyJZ8,что делает человек в черной одежде на видео,босиком серфинг
76,2eep4G5Tgho,насколько сложна деятельность по прополке,простой
14461,DsnVkCHbEVM,каковы отношения между людьми в белых шляпах и другими людьми,противник
8828,cGqmHplppAU,в каком сезоне происходит видео,лето
5283,JNvwkiz8Bzw,насколько сложный вид спорта в видео,вторичный
13844,9FJwDxnlW7Y,что перед девушкой в ​​черном платье,снежная земля
13832,H_xL4tssqEU,какого пола человек в белой одежде,женский
10851,assDWZW6zTA,какой рукой стреляет человек на видео,верно
10316,ll4HKY9ZBOA,какую обувь носит мужчина с тарелками,кожаная одежда
11068,-5c9WHk408g,что стрелок делает с двумя другими,рукопожатие
3342,Pt0CjFgzpxM,какого цвета штаны у человека в оранжевой одежде,синий
6198,Tp4g0ErB2oQ,какая прическа у человека в синей одежде,короткий
18931,7_xkhnbnI7M,"как оценить кота, которого режут когтем",двигаться хорошо
10183,Gkv5ibx0tYw,что надето на шее на видео,ожерелье
11408,ueDoskgg2yw,почему мужчина на видео царапает правильное лицо,чистый
7946,xDD9rWISPpk,какие брюки у людей в одежде мясного цвета,короткий
10625,yhWw7oJrUFo,где люди в черном размешивают порошок,кухня
15326,yKdvz5dgro4,что у человека в фартуке на руке,перчатка
11490,TSVDMiy_FC4,почему мужчина в белой одежде чистит обувь,чистый
15448,yo3s6V19YtQ,что люди носят в синих штанах,порошок магния
10439,InwY966XXBY,в каком стиле одет человек в пальто,толстовка с капюшоном
7631,QaNQrUpmmgo,какого пола человек в оранжевой одежде,женский
7059,RztM-NVwV5o,какого пола человек в джинсах,женский
15183,3UgGvKnelfY,какого цвета рабочие костюмы носят рабочие,синий
7157,V--Xz2FtJXA,где место на видео,парикмахерская
4233,G-EDozcMT_4,что перед человеком в белых туфлях,лестница
3885,2YSsqivrvR4,что стоит за человеком на видео,кровать
15778,QxsELAtsSWE,"что происходит после того, как репортер в синем заканчивает свою речь",интервью с фиолетовым пальто
8178,azfkn6EsuJA,какого пола человек на видео,мужской
4083,SSqVGeD2XaQ,что перед человеком в красной одежде,девочка
7589,VthI1KPjEq8,какой формы чаша,круговой
5021,xOGOd2UJaMY,какого цвета обувь у человека в черных штанах,черный
672,CpxGRgJgRPA,что делает человек на видео,упаковочная коробка
10464,ICM-GjDa9QY,какие средства используются для очистки экрана синей одеждой,щетка
1931,yhWw7oJrUFo,что делает человек в черной одежде,порошок для смешивания
5935,mW9iDH07j40,что перед человеком на видео,гладильная доска
8950,nUghBtcrTPA,когда было снято видео,дневное время
18793,FBqtQ3HCk48,как человек заканчивает работу,хороший
13151,nxDAt9SkPoA,какого цвета черные носки у человека,черный
3369,5Y4YkCkgShc,какого цвета стена на видео,апельсин
1700,R7uL6BvULN8,что делает человек в синих штанах,играть с доской для виндсерфинга
13368,sQZaEt-ssCs,какого цвета штаны у игрока в белой одежде,черный
11257,q0KrlywYHM8,"что происходит после того, как человек в черных плавках поймал мяч",мяч летит
248,eg3oZ4XCEKk,какая погода на видео,Солнечный
6824,DVXOr56dlKg,что под баром,подушечки
15696,drVqGhjI558,"что происходит после того, как человек в черной куртке собирает картошку",мойка
15089,y1F_Hzpux48,какого цвета туфли у человека в красном,черный
2474,vctal2m9Zvg,какого цвета штаны у человека в зеленой одежде,черный
12219,W3KCFRADoX8,"что случилось с человеком в белом после того, как он завязал волосы",рвал волосы
2932,5fMtHNSIOAE,какого цвета шляпа судьи,апельсин
16254,Relgb880pRI,"Что случилось с человеком в синем после того, как он разрезал фрукт",положить в тарелку
1235,REOP3JWB0yc,что делает человек в черных штанах,играть в мяч
18290,jwv7eQpeGW4,какого цвета одежду носят негры,черный
16440,c6Cbq-WNq9M,"Что случилось с человеком в коричневом после того, как он срезал ветку",резать
7067,hKE7vI--XGU,какого пола человек в красной одежде,женский
18220,r82RY124wVY,какого цвета человек в красном одет,коричневый
5532,M_hfBH8xEig,что перед спортсменом,баскетбольная коробка
1288,yGO1YnMQNRI,что делает человек в зеленой одежде,метать диск
3694,gusezUdYfNA,что происходит с человеком на видео перед курением,подготовка
5606,KlmlCbJup5A,что перед ведром,стол
15718,pxt1-L_-H74,что происходит после взмаха рукой,пожимание плечами
18925,V9xuy-rVj9w,как оценить навыки катания на лыжах человека в желтых штанах,превосходный
3536,LlhgIOYsxsE,"что случилось с человеком в черном перед тем, как потянуть за веревку",педалирование
12325,EmlmKZ6Gi3Y,что вокруг ручья,древесина
8967,LkUnT9fMIXc,почему они хотят чистить лед щипцами для завивки,уменьшить трение
8145,6Eh7B3GnQWI,какого пола человек на видео,мужской
8061,bmWICdhvyJw,к какой породе относится балансовая древесина,соревновательная гимнастика
2737,nxs4o4S43oY,какого цвета волосы у человека в черной одежде,черный
15241,qm1dudWLlUg,какого цвета пальто у человека с синей дубинкой,белый
11491,NpKBAtQ5M6I,почему мужчина в белой одежде крутит цепь,поиск проблем
1559,1cccnJAK7TI,что черный делает на видео,татуировка
7534,u1upxlAgsqM,какого пола человек в желтой одежде,мужской
2574,Acogo5mgX4Q,какого цвета метла на видео,зеленый
18264,CCL8kqQMCRw,какого цвета штаны желтого мальчика,черный
3606,UxhKb-zZoWE,что произошло со спортсменами перед началом игры,соль
10505,gXdFGYPKClE,"каковы отношения всех людей, которые ездят на велосипедах в видео",противник
12266,9AqHhUuE9bE,"что произошло, когда человек в белом платье поставил обувь",щетка обувь
1975,Alv7N6Ynm1Y,что делает человек в черном костюме,играть на саксофоне
15165,mHe2twk5BDE,какого цвета водное поло на видео,желтый
4637,SaBcTNvRA6g,что стоит за человеком в черном пальто,холодильник
7941,jwOZsKS25oc,какого пола человек в розовой одежде,женский
18798,tGuPkIKGIK4,как трудно собаке принять ванну,общий
9329,YaIuavIbk6A,где человек в желтой одежде,пляж
12030,xH8l5rCWrMU,почему мужчина в синих рубашках режет ингредиенты,сделать еду
11285,5yqHTGQm2B0,почему человек в зеленой одежде вскакивает,стрелять
5342,9lX18LyTuAQ,насколько сложная игра,простой
14148,OzjjQ4SZ8PY,как зовут водолаза на ноге,перепончатые лапы
1959,QeIsJBPG8EM,что делает человек в черном пальто,крикет
14223,ot4CuJqrN-Y,что за человек в красном платье на видео,голень
2559,uBkJa679ffE,какой цвет волос у человека в черном пальто,черный
808,67NwPB79MTo,что делает человек на видео,бросать мяч
11399,OO3NO29L50U,почему мужчина на видео открывает лак для ногтей,подготовить гвоздь
17198,P3oTMGfwOOs,"что случилось с человеком на видео до того, как он снес крышу",наложение
4640,qgasVDGUw3E,что под ногами у человека в черном,крыша
14382,8ofNg0y8w60,какая связь между синим человеком и красным человеком,противник
10717,Z-6dR4H2dns,где парень в ковбойских шортах,дорога
5888,ahVeDMNS9ws,что перед человеком на видео,стиральная машина
17273,B-lmXhRr6bE,"что произошло после того, как человек на видео нарисовал",окунуться в чернила
18888,D8dHEAYIawg,как сложно играть в пляжный волейбол,середина
4160,e51ld7ANyQg,что стоит за человеком в очках,керлинг зал
9297,WVxP7f_OyEs,где человек в черной одежде,открытый
5242,M6i-5nzy5Bk,насколько сложно прыгать с шестом,труднее
9516,MfFM_a26bR8,почему человек в черном носит перчатки,защитная рука
17504,aWz9H0jTv3c,"что произошло, когда люди на поле заняли свои позиции",начинать
8586,U9pnR51t6As,почему мужчина в косе должен задирать ноги,растяжка мышц
4920,9SiYS0SEKTw,какого цвета машина,черный
12744,q9T1GR6s0vI,какая левая сторона у человека в фиолетовых шортах,аудитория
5799,rBaR5xF8orE,что перед человеком в черной одежде,аудитория
10565,CsaeiOFuij0,где люди играют в сквош на видео,в помещении
1016,x0HMqVvqHJE,что делает человек в синей одежде,играть в хоккей
3798,GjjRDUirW7g,что стоит за мужчиной в черной рубашке,книжная полка
3338,I6gc2AjcYOY,какого цвета полотенце,белый
2325,VGVIaQuhdcI,что делает мужчина с короткими волосами,кисть стены
8596,k3rWocPJ428,о чем это видео,представить игрушки
18505,f--wWfsr0zA,какого цвета платье у ведущей в видео,желтый
15932,3nvVkcxxaJ4,"Что происходит до того, как парень с косой играет на пианино",тестовый сигнал
17593,f3spxjpfuxM,"что случилось с человеком на видео после того, как он починил ковер",отрезать
8224,aq41GgfAlDo,какого пола человек на видео,мужской
1638,G4kjV4ulJzo,что делает мужчина на видео,собака поскользнулась
6252,fpIS8jWoK9w,какая прическа у человека в шляпе,волосы
27,zPu3JBSPa94,насколько сложно заниматься татуировкой,трудность
12302,iYxj8a1TPYk,что стоит за лысым мужчиной,корзина
2844,lfH_S2LTEXA,какого цвета волосы у человека в синей одежде,коричневый
777,aA6Bchzww4Y,что делает человек на видео,уборка снега
17567,QhDPo3amF6o,"что случилось с блондином до того, как он врезался в другую машину",реверсивный
16150,Ig_AvatvYrk,"что произошло до того, как человек в черном подстригся",разбрызгиватель на голову
9627,5DBzvN5Qe_0,почему публика аплодирует,прекрасное выступление
6055,4qONyTNaPOI,что перед серфером,корабль
4842,Jd3D2d-RwL0,какого цвета собака,белый
4679,izdf6Fm48Tc,что стоит за человеком в синей одежде,оконные шторы
17755,0kfJ7Lu4tvo,не опасно ли включать сигнальные лампы перед заменой колеса,Опасность
16285,dcARAWmvWSo,"что произошло после того, как человек на видео снял материал крыши",отложить
13524,xoETvVbyiBA,насколько сложно выполнение брусьев на видео,простой
14280,7uE2pMuAM8I,"что такое человек с указательным пальцем, завернутым в ткань",кожаные ботинки
10967,__c8enCfzqw,у кого на видео кольцо на руке,верно
7782,5dXi-tAGqbs,что делает женщина в цветных шортах,танец
14787,QhDPo3amF6o,какого пола человек в темно-серой рубашке,мужской
10141,N2nNkWXYAYw,что под ногами у человека на видео,пол
6760,xxXspvK4tEY,каковы отношения двух людей,семья
4500,r9X01daYa5o,что справа от человека на видео,лестница
16955,6SWx37_Byzs,"что случилось с мужчиной на видео до того, как он обернулся",надеть шляпу
1773,LeSq1XE93mE,что делает человек в серой одежде,барабан
13938,h-_dzZ3cCfc,какова личность человека в оранжевой одежде,игрок
10804,mTDRTiTnsjQ,где место съемки в видео,открытый
4398,z6IsPWucZnU,что слева от человека в белой одежде,вода
1506,8vcO5DRxP6c,что делает спортсмен,бросок
9110,2_Tgrk8iJpE,где спортсмены играют в вышибалы,баскетбольная площадка
11207,NGk3v4sKqdg,что происходит после замены резины,Взрывать
10131,Vckc3ZOollk,что под фишками,стол
2401,90vop6PS2Y0,что делает человек в белом,подметать пол
826,osLHgm_yuMc,что делает человек на видео,стрельба
11765,-FbWTFJ3kV0,почему у них парус на лодке,использовать ветер
15008,U2-GFZxIufw,какого цвета волосы у человека в спасательном жилете,черный
6873,V3ZDyR7mVpc,насколько безопасно это занятие на велосипеде,высокий
17031,NyL7m4JV8vQ,"что случилось с человеком в оранжевом до того, как он прыгнул",подбежать
8370,NoVa1C5KBno,какой формы теннисный мяч на видео,круговой
8105,izdf6Fm48Tc,какого пола человек в синем,мужской
4894,RKsto2FmBzM,какого цвета штаны у человека в оранжевой одежде,коричневый
3149,nQjxgOz1WYo,какого цвета волосы у человека в белой одежде,черный
6926,XP8pufIBsnM,насколько безопасен этот вид спорта на видео,Опасность
12181,dD3eR9Sb1x0,"что случилось с человеком в желтом до того, как они начали танцевать",качать
6053,HfN967uah8o,какого пола человек в белой шляпе,женский
2251,uoy7NjeESZc,что делает велосипедист,автогонка
13641,V2ltLccVh_Q,что под ногами у всех людей в касках,пастбище
11291,opaWopwV74I,почему мужчина в зеленых юбках выбирает твою одежду,отвинчивание
1307,QgzpNg0Ponc,что делает человек в оранжевом пальто,ползунок
6238,-tv6laq1ic0,какая прическа у человека в белой одежде,прямые волосы
4521,W01QffZYsxQ,что на диване,кукла
86,ZO8ValsY3rE,насколько сложно мыть руки,обычно
1864,WYcTPQSXwRc,что делает человек в черной одежде,барабан
3094,hzpFVURhKwo,какого цвета волосы у человека в белой одежде,черный
2999,Yr2unlRQZa0,какого цвета штаны у мужчины в жилете,желтый
9400,nfe_V3ei6ag,где снято видео,в помещении
3779,T8ae3_Pm5eE,что перед человеком в черной одежде,стена
10,r40TuTkt9y4,сцена катания на лодке происходит в помещении или на открытом воздухе,открытый
12222,5Y4YkCkgShc,"что происходит, когда человек в костюме повара насыпает муку в миску",добавить соль
10530,ZzarNWOJnro,когда сцена в видео,ночь
16789,F3tKnLz9YyE,что случилось с собакой в ​​воде,кусать мяч
15654,beejEQ04nkY,"что происходит после того, как человек в шляпе бросил фрисби",бегать
11160,otrk9uW9UjU,почему человек в черном пальто делает приседания,фитнес
4769,HWkGANOfqQE,какая польза от этой деятельности,расслабляться
7479,tbOIyG1RCUI,какого пола человек в белой одежде,мужской
2030,JJ0jtr07EGE,что делает человек в синей одежде,играть в игру
9735,-C9mAKWi9Ho,какого пола человек в начале видео,мужской
7315,Q7eK0xT6VSQ,какого пола человек в сером пальто,мужской
10513,TQ22icNBoSI,какой дом на видео,вилла
6499,i9t0zZzzbhE,в чем заключается работа всадника,поло спортсмен
977,XTErpg4IdiE,что делает человек в черном,компресс одеяло
8444,DDwBAbeGejE,какие штаны носит человек в черной одежде,брюки
13664,3aQnQEL3USQ,что перед человеком в красном платье в начале видео,дорога
13113,1PpVSeE2BJ8,какого цвета бумажное полотенце,белый
1519,APlxSpTZVPI,что делает человек на видео,выполнять
12249,2bnO6YWXCiU,что стало с человеком на видео после того как он упал на декоративный грунт,распространяться
8193,0BXBfSWIR2k,какого пола человек на видео,мужской
1357,zvAlL20-K4w,что делает человек в красной одежде,соответствовать
12610,h4Cf5u1j0TU,"что случилось с человеком в желтом до того, как он закашлялся",кормить
16477,SHzmpIt0Euw,"что случилось с человеком в зеленом пальто до того, как он положил пол",поднять этаж
2808,YBuNpnthXfE,какого цвета волосы у человека в черной одежде,белый
18683,MOBJ_kpzHc0,какого цвета сок,желтый
5533,UxhKb-zZoWE,что впереди у спортсменов,противник
4814,loYCYGQpGRw,что делает повар,приготовление лапши
14951,a2vaM_aRHv4,"какого цвета внешний слой торта после того, как он закончился",коричневый
6574,Ke29p3rcs1k,что делает человек в белой рубашке,восковой стол
3170,ZoKZTceDTLA,какого цвета волосы у человека в белой одежде,черный
8562,FFyJjF4MjHM,почему человек в синем должен остановиться,избегать синяков
5271,aUCdj7acYos,что делает маленькая девочка на видео,играть
10042,dyvB6XCWPZs,какая передняя часть лодки в начале видео,каяк
265,_cU5aISTDBo,какая погода на видео,Солнечный
16393,tEAEFVJGGG0,"Что случилось с человеком в синем после того, как он подрезал деревья",Рис поворачивается аккуратно
9113,AH-3mF6wWhU,где мужчина на видео,трава
6947,9mF5s6_dTlk,насколько безопасно это занятие на видео,середина
3994,wu0G4yQIwKo,что справа от человека в белой одежде,стена
12523,GHmxFOXP1Q0,что спереди у человека в синей рубашке,рука
16178,8eMjzrhxv2U,"что случилось с человеком в красной шляпе, держащим рыбу",положить в воду
4352,6diEN8nUqsI,что на голове у человека на видео,шапка
271,XP8pufIBsnM,человек в черном мужчина или женщина,мальчик
2649,VO49rhXzhk4,какого цвета одежда у женщины в очках,зеленый
11115,kMRQmijCc5Y,что носит говорящая женщина на левой руке,наручные часы
5914,---9CpRcKoU,что перед человеком на видео,стол
7887,dGxJGvw_sUg,какие брюки носят люди в зеленой одежде,короткий
10652,elW8E-9bCRQ,где вы спекулируете на активности экрана,дверной проем
4342,xUUmAdQJgjg,какого цвета штаны у человека в черной одежде,серый
16467,ZN9kbYULUtw,"что произошло до того, как человек в серых брюках начал играть в тхэквондо",поклон
11321,9Hw3xvJJTy0,почему человек в фиолетовом носит лестницу,знак
11352,RaYMOYWhba8,почему человек в красном поднимает одежду,нагревать
15552,STgbw-zqZJM,что происходит после сдувания опавших листьев,сдуть
10049,ix40OdQd7iE,"что находится под ногой белого человека, когда он бежит",пластиковая дорожка
