,video_name,question,answer
16212,sJFgo9H6zNo,"что случилось с пацаном в ковбойских шортах до того, как он поиграл в слайд",горка
4098,JouywOCeGHI,что перед человеком в белой одежде,камень
3397,53tCYiyAyf0,какого цвета штаны у человека в черной одежде,черный
4946,ZFi592_m_NQ,какого цвета штаны у человека в синей одежде,черный
17105,fTGtoTlJyh0,"что случилось с человеком в костюме до того, как он его нарисовал",покраска
10989,0-ReTddxkhg,Кто из двух мужчин выигрывает игру,женщина в красном платье
12394,VBY8feOQgy4,что находится позади человека в каске,линия
2544,IrO7Fgr102M,какого цвета мяч,желтый
14848,avxSMcGBdG8,"какого пола человек, держащий красную чашку",мужской
9462,SzCK4QuEG3c,на какой руке у человека на видео часы,левый
18455,F_EHrfbYsRE,какого цвета его пальто,белый
14016,Rx4gq8hrZ8s,"что такое левая сторона человека, который начал носить черную одежду в начале видео",стена
2833,vWz90CichbM,какого цвета волосы у человека в серой одежде,белый
4913,nDbLtdY66dA,какого цвета саксофон,желтый
13663,gUFRtx51OJc,что находится перед человеком в сером платье на видео,кабинет
3017,iUOCQ9sE2_A,какого цвета одежда противника,красный
47,VIQG4W0vYxw,как сложно бежать,обычно
7307,F_sbhegCsyg,какого пола человек в зеленой шляпе,женский пол
1748,XCXcwMyrqYM,что делает человек в серой одежде,стрельба из лука
6473,Ax8GCogz6Yg,как называется вид спорта в видео,необычные прыжки со скакалкой
17004,UZBHdQZc0ZM,"Что случилось со стариками до того, как они встали на лыжи",сидеть в лыжном кругу
14170,xww6n1FoJIM,какие новости на дисплее,хоккей
2230,Mm6iYEyY9dI,что делает человек в белом,играть на гитаре
8135,hJKX5ZulTgI,какого пола человек на видео,женский
7474,8M_RipfsJI8,какого пола человек в белой одежде,женский
2198,weeD4A7gl2A,что делает человек в белом,Ездить на машине
1869,I5N4rwhRa0o,что делает человек в черной одежде,удар саксофон
4164,yrf93aLQXBE,что перед человеком в черной одежде,море
11717,Q-HdDcyC9d8,почему мужчина в рубашке чистит пену,чистый
9851,6EN1q4TmPtI,какой формы воздушный шар на видео,круговой
17327,gdisMpHS668,"что случилось с человеком в розовом топе до того, как мы украсили елку",подобрать украшения
9647,-s1MQAiOMeY,какого пола моряк,мужской
9936,dh4bxvmrCNs,какая прическа у женщины в зеленой одежде,прямой
17134,civPiYFf2vE,"что случилось с человеком на видео после того, как он убрался",очиститель
7468,ak8MVjE2p3Y,какого пола человек в белой одежде,мужской
14494,6yVhTyPaaLQ,какая связь между двумя картинами,взаимосвязанный
18234,dZSjgAYlpS0,какого цвета мужские штаны,черный
10354,rYXmAD8u7N8,какие брюки носят женщины в черном,укороченные брюки
14680,-ROljbRVlos,насколько безопасен вышибала,середина
18672,ZHVzukkU9sk,какого цвета ноготь человека на видео,розовый
4511,UB2GzjNzo3M,что находится на правой стороне дороги,дерево
14233,QakbOSMJ0AA,что за люди в черных рубашках на видео,бриться
10293,z93quI8Gxx4,какие штаны носят люди синего цвета,джинсы
4832,6qghJRLpHpo,какого цвета каноэ,апельсин
1226,1xQTlp0hscs,что делает человек в черной одежде на видео,литературное творчество
8813,nSR-JSqGoWQ,какие штаны носит человек в синей одежде,короткий
15046,fTGtoTlJyh0,какого цвета защитный костюм,черный
7372,t1MXansbY5s,какого пола человек в фиолетовой одежде,женский
9267,anfZnOQGPk0,где снято видео,спортзал
7056,qwJhmfZKdNQ,какого пола человек в джинсах,мужской
7857,D707ZMWH7jQ,какого пола человек в красной одежде,мужской
18505,f--wWfsr0zA,какого цвета платье у ведущей в видео,желтый
14753,PJdE8Ui2eno,какого пола человек с лицом,мужской
6112,hDV6wQKvKCg,какая прическа у человека в розовой одежде,прямой
1107,NGF0rQiDxNk,что делает человек в красной одежде,соответствовать
4694,uMw7YplUbAM,что стоит за стариком,стена
11591,ggNmtMAdqe0,почему мужчина в джинсах носит шлем,защитить голову
17697,N-6-MdxRg50,"Что случилось с человеком в зеленом после того, как он хлопнул в ладоши",нога
177,BEA4YVQv7Wk,насколько сложно заниматься дайвингом,вторичный
816,cSfs5ht9sro,что делает человек на видео,горнолыжный спорт
15161,Scjxbdh6b54,какого цвета помытая машина,белый
16042,dAdCETrsDQw,что случилось с человеком в синем костюме перед интервью,рукопожатие
7685,EZZzVXqxG6U,какого пола человек в желтой одежде,мужской
5543,cM67XJS7yM8,что перед зрителями,спортзал
15961,9cD-Z6Aw7bE,"что происходит до того, как первые спортсмены начали игру",объятие
10204,icGrJ2XBxa0,какой корабль делает человек на видео ряд,гребля на каноэ
15515,fm4ZaId1sL0,что происходит после глажки,подобрать одежду
16793,w--HmpjK-s8,"Что случилось с барабанщиком до того, как он ударил по барабану",настроить микрофон
17211,A8q6beSMpEE,"Что случилось с человеком на видео до того, как помыли машину",спрей чистящее средство
11750,EpLRCz5dwb0,почему женщина в красном бежит,идти дальше
5929,b0LY869JBrE,что перед человеком на видео,стол
1452,kgPvfYhmn54,что делает человек в желтых шортах,гребля
254,i9t0zZzzbhE,какая погода на видео,снег
9834,Y6UKk3t8Hj8,какой формы скамья на видео,прямоугольник
10252,dB4SbhaQQV8,какие волосы у человека в синем пальто,длинный
8472,99PtaOQbBIY,какой стиль одежды у человека в синем,длинные рукова
7726,0xxl3iG3VKY,какого пола спортсмен,мужской
2389,ciEBsDNryN8,что делает женщина на видео,играть на аккордеоне
14688,T_CvR3zm6K8,какой сезон первого видео,лето
12906,6ZUHLsyJ6yo,что стоит за барабанщиком,дом
9060,W0RYvQUUNe0,когда было снято видео,день
14471,0-kEI13BtcY,какие отношения между людьми которые громят мусор на видео,друг
185,28P5f3p_32g,насколько сложна операция,простой
2330,_xtOX9UCWmU,что делает сидящий мужчина,играть на гитаре
16492,r34VM4v0ShI,"что случилось с человеком в зеленых штанах до того, как он почистил ботинки",мыльная вода
11070,0-ReTddxkhg,почему женщина в красном подняла голову,избежать утечки воды
4291,sY7m7E-sAYc,что перед человеком с косой,столешница
13738,a50gTER-FsQ,что находится перед человеком при метании бигуди,вьющийся
5930,CteuM2BUmHo,что перед человеком на видео,стена
7670,ymEh5T11kSQ,какого пола человек в белых штанах,мужской
17462,cJYtpnf5aOM,что было когда черный мальчик поехал на батут,батут
3803,eS1USHkyb2U,что стоит за человеком в полосатой одежде,стул
10825,FRzN9ApCxW8,где прополоть,пастбище
8748,VTFIAQVjHv8,какие штаны носит человек в сером,брюки
7001,bFgXdHQnTtQ,какого пола ребенок на видео,женский
5154,ORI5ZNZARw8,насколько сложно действие в видео,простой
15709,iSHPVCBsnLw,что будет если синий человечек положит пульт,жест
14285,VTtRk9vvZoY,какое зажигание использует человек на видео,огненный камень
9278,KqOLTkf5ujs,где говорит человек в шляпе,лужайка
17153,p9JNte3VMKQ,"что произошло после того, как человек на видео взял нож",заточка
2298,MaYV3jnGr6g,что делает человек со светлыми волосами,носить контактные линзы
13105,J4WbF-bJ1T8,какого цвета штаны у мужчин в черных туфлях,коричневый
17307,32-Bxdbf3mQ,что случилось с человеком в шапке после того как он поехал,гулять с собакой
12169,jwOZsKS25oc,"Что случилось с человеком в розовом платье после того, как он поднял ногу",коснуться ноги
9371,Z3DhUZhoRDA,где на видео,дом
12320,FkSf3pxra3M,что окружает абитуриента,железная сетка
10078,rzZutQSmyJo,что делает женщина в клетчатой ​​юбке,свисток ветра
17490,nARkYpOZWyg,"что случилось после того, как листья были взорваны",упасть
14055,DqHWMWY-r1o,что перед человеком в черной спортивной одежде,пограничная сеть
11452,bpfak_VIJ8o,почему мужчина на видео в очках,избегать ослепления
155,k3rWocPJ428,насколько сложная игра в видео,простой
5560,otWcr0Rxy5g,что перед зрителями,этап
4374,Jmip8PuILhM,что находится на левой руке у стоящего человека,звенеть
2826,fRLDhkPqrTE,какого цвета волосы у человека в яркой одежде,черный
3450,DF9CGVGiKXY,что случилось после прыжков со скакалкой,праздновать
3427,h7cetqsBVn0,что носит человек в зеленом на лице,Солнцезащитные Очки
6953,8TDYCXqSHCw,насколько безопасно это занятие тяжелой атлетикой,низкий
14446,Ci__IRtoMOo,какие отношения между кудрявой девушкой и мужчиной вокруг меня,отец и дочь
14410,JA-B3KK9A-I,"какая связь между человеком в черном купальнике и человеком, ныряющим",товарищ по команде
1285,wOZdXVdiB04,что делает человек в зеленой одежде,играть в игру
5063,mLijl36SjJU,какого цвета штаны у человека в черной одежде,зеленый
4474,1XicledQXng,что справа от человека в черной одежде,книжная полка
1240,qmar8pDP5co,что делает человек в черных шортах,сумо
1410,kpE3q-Hmd7A,что делает человек в белых штанах,танец
3514,wdb4-V33wIo,"что произошло до того, как человек в черном убрал снег",движущиеся шаги
11505,kgPvfYhmn54,почему человек в желтых штанах берет весла,подготовка
22,zwm-v9MLOFY,как сложно танцевать,трудность
16678,cM67XJS7yM8,что случилось со спортсменами после победы в игре,радость
18655,YWsqpINl8Ic,какого цвета шляпы у людей в клетчатой ​​рубашке,черный
12407,BJuL-yK-I8g,что стоит за людьми на берегу,свинья
8218,b0LY869JBrE,какого пола человек на видео,женский
2493,9SEc3QVBCo4,какой цвет одежды у человека на видео,черный
3896,alcSAjjsH9w,что стоит за людьми в белых одеждах,земля
2664,Qp_zbvHLwLk,какого цвета мешок для мусора,черный
18209,8J_bB1vI0uE,что дает скалолазание для упражнений,сила воли
13552,L2jO-evVIRE,что висит под шеей у собаки,маленький колокольчик
13430,mGLCCohSA0A,как легко делается украшение на видео,трудный
10337,PWrVWeH45Zo,какие брюки носят люди в черном,серый
18556,8rimo9x4qqw,какого цвета очки у мужчины в оранжевом,белый
4166,dbLtukGqkhI,что перед человеком в черной одежде,стена
16764,7univ6G4RXA,что происходило с ребенком перед чисткой,встряхнуть тело
8493,ADbp9ObJVxE,какой стиль одежды у человека на видео,клетчатую рубашку
5402,U4ua-VD7hNM,что под ногами у человека в черном,плоский ремень
12388,GqWH2IYPw6U,что стоит за человеком в серой рубашке,фонтан
18059,Uo9q4riquHM,что делает человек в плаще,стрижка газона
8141,f_mbX87xabo,какого пола человек на видео,женский
5249,4mRdgV8t4KY,как сложно ездить на лошади,середина
7276,LHewj6shKGw,какого пола человек в серой одежде,мужской
5378,ZtfdFFYa8vY,что делает собака на видео,бегать
14965,FkMk9TZdea0,какого цвета ручка для рисования,черный
12201,_DiTdY1Mtj4,что случилось с ребенком в красном после того как он выкатил железную пластину,переход через
3815,yzmPtZyuo4s,что стоит за человеком в синем,ВПП
9061,800KXmqsK-w,когда было снято видео,ночь
1987,j6Kf_y7k-yU,что делает человек в синей одежде,соответствовать
13142,YoJxVl_hUWg,какого цвета перчатки у людей в коричневой одежде,черный
12080,r5oPTDuHhoE,почему судьи поднимают руки,знак оценка
2907,gdr6iVHHYcU,какого цвета волосы у сидящего человека,коричневый
9327,NoVa1C5KBno,где человек в белой одежде,теннисный корт
5126,VLmZ3M3wSbo,насколько сложно носить накладные ресницы,обычно
14605,TMnmi7WJr_o,каков фактор риска для татуировки,ниже
11044,6qghJRLpHpo,почему люди плывут на байдарках по порогам,стимул
557,x39KxoQHEp4,что делает человек на видео,дрейф
18497,jqW7r60gOzE,какого цвета платье человека в маске для глаз,черный
8491,ienRkMdn_OM,какой стиль одежды у человека на видео,длинные рукова
10121,QwLiAkfSa9A,что под человеком в черном пальто,кровать
18136,9lX18LyTuAQ,что делает мальчик на видео,играть на скрипке
15399,yyvc2OSPx1Y,что носит на зубах человек с повязкой на голове,брекеты
18082,-KWToNMY1Lc,что делает человек на лошади,соответствовать
4288,jSxu2GOiBO0,что перед человеком в синих штанах,снег
10398,eyfUkLbsixg,какое время года может быть в видео,осень
18228,8YTuNZ-mIaY,какого цвета пистолет на видео,черный
15770,8WJWtfmEipI,что происходит после прыжка на красный свет,запуск автомобиля
4296,V4_SJyhRGqA,что перед человеком в шляпе,мяч
6194,Lou-YFz3kb0,какая прическа у человека в синей одежде,длинные волосы
17725,fm4ZaId1sL0,ты гладишь одежду левой рукой?,верно
1727,qknJO39WUGk,что делает человек в коричневой одежде,мыть бассейн
8943,GycRQhoHnXw,когда было снято видео,день
6223,Z7BPvGPizYE,какая прическа у человека в белой одежде,короткий
16638,qX7UMKN6ygM,"что случилось с человеком в белых шортах до того, как он начал играть в футбол",жонглирование
490,2RfasAe0-tA,что делает человек на видео,танец
2440,h49mHiWjXBA,какой цвет волос у человека в синих туфлях,красный
14816,oFku30m99do,какого пола человек в белом полотенце,женский
10457,ygHElEUxVwA,какой стиль брюк у мужчин браслеты,узкие брюки
5361,GWJw2jR2mTY,как сложно вымыть пол,простой
13793,eMkBTRYwBAU,что впереди этого снега,гора
14761,K1z2fiB9pUM,какого пола водитель мотоцикла на видео,мужской
11769,7Iy7Cjv2SAE,почему они должны расчесывать собаку,чистый
778,pHZogKGkc9o,что делает человек на видео,бросать мяч
6251,fGA7nlbGmHU,какая прическа у мужчины в жилете,короткий
3403,9o_SlEkq-L0,какой цвет обуви у человека на видео,черный
7792,uMAjCPUZfp0,какого пола человек в черной одежде,мужской
14662,_eanWnL3FtM,каков запас прочности камня-ножниц-бумаги,высокий
15898,Z_1Zoc6lINU,"что происходит до того, как человек в полосатой одежде почистит обувь",масло для чистки обуви
13944,54K2F3zAZ0o,на каком инструменте играет мужчина,саксофон
9184,WD40PRo1quM,где место на видео,гостиная
9079,ZeN0mrRQHg8,когда было снято видео,день
4847,SCM5-6hQCGY,какого цвета одежда мальчика,черный
8878,Ek2OvKMdvys,какую одежду носит человек с косами,топы с лямкой на шее
5665,cvEOK7xAPSs,что перед игроком в синей одежде,плоский ремень
1429,K5_Rm4MfF9o,что делает человек в желтом пальто,серфинг
12615,q23IYtwNOkE,что ты носишь на ушах у людей в тёмно-синей одежде,ушные шпильки
18312,nARkYpOZWyg,какого цвета наушники носят люди в синем,синий
1573,IWHN3TD8mMQ,что делает человек с косой,лапша
14361,pZZVzBD8bZY,какие отношения между всеми мотоциклистами на видео,противник
357,7univ6G4RXA,что делает ребенок,чистить зубы
1780,8JKK6JayDeA,что делает человек в серой одежде,гиревой спорт
3497,x3cOxXOYbwA,что было после тяжелой атлетики,опустить турник
16020,yyvc2OSPx1Y,"что произошло до того, как мужчина с повязкой на голове попал в заголок",выбрать гвоздь уха
17506,aj2cioE_yG0,"что произошло, когда человек на видео поднял бутылку",выпить
12100,QU5R75IyQow,"что случилось с человеком в зеленом платье до того, как он принял позу",мыть голову
169,TBeZXLchito,насколько сложно занятие играть на аккордеоне в видео,трудность
14986,pF-r_m8LVPs,какого цвета одежда у человека с розовой камерой,синий
18454,-G8N5FxjZbw,какого цвета пальто у мужчины в красной юбке,желтый
9656,J5wZTdD4XeU,какого пола судья в белом?,женский
2819,GHmxFOXP1Q0,какого цвета волосы у человека в синей одежде,серебро
9693,Scjxbdh6b54,какого пола автомойщик,мужской
10129,vPh9o_BuJaU,что под попой,стул
2170,Z7BPvGPizYE,что делает человек в белом,лыжи для кормления
7186,WhYyvKiwLc8,какого пола человек в синей одежде,женский
3595,xLRUuV1z3QA,"Что случилось с человеком в белом халате до того, как он поехал на верблюде",сидеть на верблюде
1667,9hR1MHvXGv8,что делает человек в шляпе,водить машину
11135,iJzt1rvGiOc,почему мужчина в шляпе моет обувь,грязный
367,4o7Abew2ExY,что он делает,пойти на рыбалку
2795,JKCwcCMAnxg,какого цвета волосы у человека в красной одежде,коричневый
18544,9eqfQyr3J7k,какого цвета волосы у девушки в розовом,желтый
15393,ePqfnkzAQjQ,что носит девушка на правом ухе,серьга
7898,weeD4A7gl2A,какого пола человек в белой одежде,мужской
10164,QhDPo3amF6o,что под мужчиной в темно-серой рубашке,бампер автомобиля
7164,G0vkQmcalvk,какого пола человек в черной жилетке,женский пол
12584,W04glwJ_IYI,что перед собакой,игрушка
17347,zYN_cbLO3MU,"что случилось с человеком в красном костюме до того, как он спустился",волна волны
6844,aMQVH3dF0QM,насколько опасен вид спорта на видео,Опасность
18767,ofrkSTRhCE4,как сложно бежать в видео,простой
17740,C8fyaj592GA,человек в белой шляпе с длинными волосами или короткими волосами,длинные волосы
12951,_MYAaRrTeMQ,что за кабиной,древесина
4455,-AUKiMfqga4,что на пальце у человека на видео,звенеть
7594,cvFFwMKFg7Q,какого пола человек в сапогах,женский
2674,PtoVL69LEh4,какого цвета волосы у человека в сером пальто,коричневый
6857,8H3Wy96BwHM,насколько опасна езда на велосипеде,опасный
7331,jkWqhnD8hyQ,какого пола человек в шляпе,мужской
9815,fpIS8jWoK9w,какая форма очков у человека в шляпе,квадрат
1955,xOTW_-tiEjY,что делает человек в черном пальто,есть
6722,Nk4p-ah_PkA,каковы отношения человека в белом и других людей,противник
18319,VIQG4W0vYxw,какого цвета шляпа у человека в сером,белый
13169,UU8a7vp6tgY,какого цвета красные женские туфли,черный
3448,WUTHTWQb-5g,что было после игры в хоккей,закрыть видео
15056,1R25VGmqS9o,какого цвета одежда судьи,белый
9795,1P_BTFhNZFo,какого пола два танцующих человека,женский
13328,2bEr09bbqAA,какого цвета байдарка на видео,синий
15272,fY2IeYSxY4U,"что случилось с альпинисткой после того, как она закончила восхождение",мужчины появляются
6811,GSXP6BYeS-o,что справа от человека на видео,стол
4856,rVmNL8rzHnU,какого цвета шапка у человека в черной одежде,черный
11774,j6S6eWSeGr0,почему они должны красить забор,красота
4217,QEdbqJijx1w,что перед человеком в черной жилетке,зеркало
14943,8i2lkdpB2w0,какого цвета весло,черный
14454,IlzwpnsIRZM,какая связь между человеком в красном и человеком в противоположном,противник
2192,H_xL4tssqEU,что делает человек в белом,вязать свитер
6327,ktfxYSZjJyM,что он делает,парусная лодка
3189,WwwfCw1dYlg,какого цвета штаны у человека в шляпе,черный
16738,wlYxVUJSJVI,"Что случилось с мальчиком в футболке с номером 10 после того, как он забил",бег
1506,8vcO5DRxP6c,что делает спортсмен,бросок
17684,FMmrxy3OanA,"что случилось с человеком в синем до того, как он крутил обруч",носить юбку
12427,c-3fceLb7n4,что стоит за женщиной в серой одежде,стол
7895,VyD5Z0S9tXU,какого пола человек в белой одежде,мужской
11686,1P_BTFhNZFo,почему танцоры хотят помахать на прощание,учтивость
1951,uLXSOqRSa4A,что делает человек в черном пальто,прыжки с тарзанки
6734,66BGqvwHbUw,какие отношения между двумя людьми на видео,друг
3659,DmaPpBMsuXg,что случилось с человеком в красной одежде перед игрой в мяч,служить
16985,IfpcrV_cwHI,"что произошло после того, как человек с двумя руками забил гол",скачущий
17829,OUPEzXXawCs,что люди делают на поляне,ударный мяч
9790,r5oPTDuHhoE,какого пола судья на видео,мужской
2338,JviFZ5Cliug,что делает стоящий человек,введение беговой дорожки
236,RDCZQ0nWIPc,какая погода на видео,Солнечный
1442,xkKjgwIPEuM,что делает человек в желтой одежде,играть в мяч
8403,a42c_maArv4,какой формы волейбольный мяч на видео,круговой
5053,b3bawTEPLtA,какого цвета одежда стоящего человека,черный
15017,-lV2zo5XsCg,какого цвета лошадь у мужчины на видео,белый
4827,4ZyPBOe4P0U,что делает тренер,учить и ловить мяч
9849,tQ9yPS_BJHQ,какая форма цементного пола на видео,квадрат
2649,VO49rhXzhk4,какого цвета одежда у женщины в очках,зеленый
